level,type,text,audio_text,target_phrase,opt1,opt2,opt3,opt4,correct_opt
A1,CHOICE,"Choose the correct option:<br><br>'I _____ from Ecuador.'",,,am,are,is,be,1
A1,CHOICE,"Choose the correct option:<br><br>'My brother _____ a car.'",,,have,has,having,to have,2
A1,CHOICE,"Choose the correct option:<br><br>'_____ you like pizza?'",,,Does,Do,Are,Is,2
A1,CHOICE,"Choose the correct option:<br><br>'We _____ playing tennis now.'",,,am,are,is,be,2
A1,CHOICE,"Choose the correct option:<br><br>'She _____ up early every day.'",,,wake,wakes,waking,waked,2
A1,CHOICE,"Choose the correct option:<br><br>'This is _____ book.'",,,my,me,mine,I,1
A1,CHOICE,"Choose the correct option:<br><br>'They _____ at home yesterday.'",,,was,were,are,is,2
A1,LISTENING,"Escucha y selecciona el medio de transporte:","I travel to work by bus.",,car,bus,train,bike,2
A1,LISTENING,"Escucha y selecciona la comida:","I eat eggs for breakfast.",,bread,eggs,milk,cheese,2
A1,LISTENING,"Escucha y selecciona el día de la semana:","Today is Monday.",,Sunday,Monday,Tuesday,Friday,2
A1,LISTENING,"Escucha y selecciona el número:","I have three cats.",,two,three,four,five,2
A1,LISTENING,"Escucha y selecciona el lugar:","She is in the kitchen.",,bedroom,kitchen,bathroom,garden,2
A1,LISTENING,"Escucha y selecciona la emoción:","He is very happy.",,sad,angry,happy,tired,3
A1,LISTENING,"Escucha y responde la hora:","The class starts at ten.",,nine,ten,eleven,eight,2
A1,SPEAKING,"Lee la frase en voz alta:<br><br><b>'Good morning.'</b>",,"Good morning",,,,,
A1,SPEAKING,"Lee la frase en voz alta:<br><br><b>'My name is Ian.'</b>",,"My name is Ian",,,,,
A1,SPEAKING,"Lee la frase en voz alta:<br><br><b>'I like coffee.'</b>",,"I like coffee",,,,,
A1,SPEAKING,"Lee la frase en voz alta:<br><br><b>'See you tomorrow.'</b>",,"See you tomorrow",,,,,
A1,SPEAKING,"Lee la frase en voz alta:<br><br><b>'Thank you very much.'</b>",,"Thank you very much",,,,,
A1,SPEAKING,"Lee la frase en voz alta:<br><br><b>'Where is the bathroom?'</b>",,"Where is the bathroom",,,,,
A2,CHOICE,"Complete the sentence:<br><br>'I _____ to the beach last summer.'",,,go,went,gone,going,2
A2,CHOICE,"Complete the sentence:<br><br>'She is _____ than her sister.'",,,tall,taller,tallest,more tall,2
A2,CHOICE,"Complete the sentence:<br><br>'You _____ wear a uniform at school.'",,,must,should,can,might,1
A2,CHOICE,"Complete the sentence:<br><br>'We have lived here _____ 2020.'",,,for,since,in,at,2
A2,CHOICE,"Complete the sentence:<br><br>'If it rains, I _____ stay at home.'",,,will,would,am,do,1
A2,CHOICE,"Complete the sentence:<br><br>'He _____ a shower when the phone rang.'",,,takes,took,was taking,has taken,3
A2,CHOICE,"Complete the sentence:<br><br>'I don't have _____ money in my wallet.'",,,some,any,many,a lot,2
A2,LISTENING,"Escucha y selecciona la actividad:","They are watching a movie tonight.",,playing sports,reading a book,watching a movie,cooking dinner,3
A2,LISTENING,"Escucha y selecciona el lugar:","Let's meet at the train station.",,airport,train station,bus stop,taxi stand,2
A2,LISTENING,"Escucha y selecciona el problema:","My computer is broken.",,phone is lost,car is broken,computer is broken,wallet is stolen,3
A2,LISTENING,"Escucha y selecciona el trabajo:","My father works as an engineer.",,doctor,teacher,engineer,lawyer,3
A2,LISTENING,"Escucha y selecciona la dirección:","Turn right at the traffic lights.",,turn left,go straight,turn right,stop,3
A2,LISTENING,"Escucha y selecciona la frecuencia:","I usually exercise twice a week.",,every day,twice a week,once a month,never,2
A2,LISTENING,"Escucha y selecciona la cantidad:","There are a few apples left.",,a lot of,a few,none,too many,2
A2,SPEAKING,"Lee la frase en voz alta:<br><br><b>'I would like to order a pizza.'</b>",,"I would like to order a pizza",,,,,
A2,SPEAKING,"Lee la frase en voz alta:<br><br><b>'What time does the train arrive?'</b>",,"What time does the train arrive",,,,,
